year,records
1995,27
1996,11
1997,22
1998,20
1999,39
2000,16
2001,22
2002,22
2003,24
2004,48
2005,26
2006,23
2007,70
2008,26
2009,36
2010,35
2011,32
2012,40
2013,46
2014,54
2015,57
2016,65
2017,51
2018,71
2019,69
2020,58
2021,80
2022,73
2023,77
2024,75
2025,76
2026,23
